sample,type
TCGA-97-7547-01A-11R-2039-07,subtype_1
TCGA-73-7498-01A-12R-2187-07,subtype_1
TCGA-55-7573-01A-11R-2039-07,subtype_1
TCGA-93-A4JO-01A-21R-A24X-07,subtype_1
TCGA-69-7974-01A-11R-2187-07,subtype_1
TCGA-99-AA5R-01A-11R-A39D-07,subtype_1
TCGA-50-8457-01A-11R-2326-07,subtype_1
TCGA-44-7659-01A-11R-2066-07,subtype_1
TCGA-44-5645-01A-01R-1628-07,subtype_1
TCGA-44-6146-01A-11R-1755-07,subtype_1
TCGA-55-7574-01A-11R-2039-07,subtype_1
TCGA-44-6147-01A-11R-1755-07,subtype_1
TCGA-97-8552-01A-11R-2403-07,subtype_1
TCGA-J2-A4AE-01A-21R-A24H-07,subtype_1
TCGA-97-A4M5-01A-11R-A24X-07,subtype_1
TCGA-44-6148-01A-11R-1755-07,subtype_1
TCGA-55-6985-01A-11R-1949-07,subtype_1
TCGA-86-8280-01A-11R-2287-07,subtype_1
TCGA-55-8621-01A-11R-2403-07,subtype_1
TCGA-91-6835-01A-11R-1858-07,subtype_1
TCGA-97-7941-01A-11R-2187-07,subtype_1
TCGA-49-AARR-01A-11R-A41B-07,subtype_1
TCGA-97-A4M7-01A-11R-A24X-07,subtype_1
TCGA-38-4626-01A-01R-1206-07,subtype_1
TCGA-55-7816-01A-11R-2170-07,subtype_1
TCGA-78-7540-01A-11R-2066-07,subtype_1
TCGA-97-A4M2-01A-12R-A24X-07,subtype_1
