"feature_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","type"
"REG4",1081.18595096039,11.8928744977015,0.527304369021896,22.5540981573161,1.22408564952203e-112,5.00149155538207e-108,"Up regulated"
"B3GNT3",2036.14071942419,4.606735249111,0.22345930597571,20.6155444231611,1.99070097918633e-94,4.06690256542871e-90,"Up regulated"
"FAM83A",6525.41870318667,5.45363706058606,0.280292363332039,19.4569591399306,2.54440770465261e-84,3.4653984801467e-80,"Up regulated"
"ENSG00000080031",736.231354182903,5.62433815760425,0.290114965537465,19.3865840294886,1.00172817045772e-83,8.18592226334639e-80,"Up regulated"
"TMPRSS4",5450.79529935528,5.12778345330631,0.264425368663741,19.3921766251827,8.98528182006832e-84,8.18592226334639e-80,"Up regulated"
"AFAP1.AS1",3187.26472167454,6.08607871578987,0.317264907908886,19.1829558330406,5.13750514802509e-82,3.49855538071928e-78,"Up regulated"
"TFF1",2704.38450193092,11.2767426273025,0.601691555419425,18.7417332447715,2.26139902609348e-78,1.15498128508942e-74,"Up regulated"
"ADM2",755.269434841657,3.523697421293,0.188578793649508,18.6855443981795,6.49132776645701e-78,2.94699068010741e-74,"Up regulated"
"PYCR1",5191.60254652312,2.77382463546379,0.148788152376738,18.6427789521866,1.4453356027466e-77,5.90549673926233e-74,"Up regulated"
"ETV4",2112.53337631017,3.59556927539634,0.193010644545702,18.6288651792205,1.87456853509109e-77,6.96299961593515e-74,"Up regulated"
"TFF2",2298.49697213361,14.4074589211378,0.793362120252028,18.1600035511665,1.07017775001234e-73,3.64386605731284e-70,"Up regulated"
"ANXA10",561.208948350942,9.7703249303008,0.540568109046842,18.0741793065232,5.09071969443924e-73,1.48572654282209e-69,"Up regulated"
"ATP10B",737.69088269939,5.95126891213288,0.32949706901436,18.0616748122682,6.38554862837247e-73,1.73938087604447e-69,"Up regulated"
"GCNT3",2308.92219768628,5.7610979606718,0.320201052897594,17.9921268482346,2.24570880174322e-72,5.73483849565164e-69,"Up regulated"
"FERMT1",1393.11326670301,3.5480800176952,0.201138306474471,17.6400014491796,1.21457850341009e-69,2.75702572615737e-66,"Up regulated"
"FUT2",1032.30227589223,3.40030686460079,0.193924497218072,17.5341790922736,7.8576157590676e-69,1.68975959105128e-65,"Up regulated"
"GOLM1",13225.0244489977,2.55864672713975,0.149110393779442,17.159412313835,5.34517673678987e-66,1.09199288144249e-62,"Up regulated"
"FEZF1.AS1",334.811659779338,6.10403028473407,0.356633590082913,17.1156908784586,1.1336267366829e-65,2.20565975400603e-62,"Up regulated"
"ONECUT2",210.896633332869,6.08176300609266,0.360494697427863,16.8706032279702,7.40364285666266e-64,1.37502474309263e-60,"Up regulated"
"COL10A1",2727.88690520907,4.34361766132574,0.258327521693248,16.8143821179207,1.91478553128689e-63,3.25984258428546e-60,"Up regulated"
"TMEM184A",1970.36154231251,2.80947795454945,0.171769702288947,16.3560739589769,3.93705707639299e-60,6.18708519555159e-57,"Up regulated"
"CST1",831.727423235496,6.95971135353914,0.426969993537202,16.3002352832383,9.83129472215986e-60,1.48776618908418e-56,"Up regulated"
"PLEKHN1",331.026860432238,2.94084949868554,0.180912683162204,16.2556292200299,2.03765572926219e-59,2.97344912292585e-56,"Up regulated"
"ENTPD8",230.845891877715,4.96470157938165,0.306513280369052,16.1973457509051,5.26510492121024e-59,7.17089739919097e-56,"Up regulated"
"ENSG00000227066",483.829954685513,5.53688688309069,0.341913938168493,16.1938027819215,5.5772655706306e-59,7.35101593388373e-56,"Up regulated"
"BCL2L15",640.089683981934,3.92180392064624,0.242287017563031,16.186603640973,6.26949306563015e-59,8.00516303651819e-56,"Up regulated"
"MMP11",4038.06919371545,4.87755521200847,0.302011699322902,16.1502194217766,1.13158450693181e-58,1.40107307177961e-55,"Up regulated"
"FAM83A.AS1",173.045742498106,5.10889919918337,0.316831379631236,16.1249785457794,1.70318209163441e-58,2.04677403182619e-55,"Up regulated"
"EPHA10",527.839413816446,3.54011469772216,0.219798671014508,16.1061697115016,2.30890130358997e-58,2.6205388434273e-55,"Up regulated"
"NPSR1",20.5703075067118,7.71678897264036,0.479110415046496,16.1064938901223,2.29683130984186e-58,2.6205388434273e-55,"Up regulated"
"BAIAP2L2",300.106656007383,4.59455514023127,0.288389901079192,15.9317476896308,3.81542162715058e-57,3.99729005804475e-54,"Up regulated"
"ABCA12",589.522771720246,4.68519217754574,0.294277399332354,15.9210057862933,4.53035377557105e-57,4.62764312290144e-54,"Up regulated"
"LGR4",3198.23968468842,2.62189353904045,0.164755849025359,15.9138115857538,5.08228789897109e-57,5.06480978692829e-54,"Up regulated"
"MIA",67.9527903725892,6.31816517477572,0.397544857092112,15.892961667246,7.0897261687393e-57,6.89712194115521e-54,"Up regulated"
"MYEOV",907.534888900634,6.00514744878324,0.379784067021558,15.8120046896079,2.5715216339407e-56,2.44348377770193e-53,"Up regulated"
