gene_ids,log2FoldChange
PYCR1,3.8358891269
FAM83A,6.9496975821
TEDC2,3.6619293028
TOP2A,4.0092492262
UBE2T,3.4658965
IQGAP3,3.7399231969
SAPCD2,3.9090455768
TUBB3,4.8881818557
KIF4A,3.9945970592
NEK2,3.9038865025
HJURP,4.0314928584
CDC25C,3.8324137284
FAM83A.AS1,6.6694442836
KIF14,3.9194712391
AFAP1.AS1,6.3857826457
NUF2,3.8863503582
ETV4,3.8691256983
CDC20,3.9410389357
KIF2C,3.738512487
UBE2C,4.3690800214
ASPM,3.9033125012
SPAG5,3.2448477376
DLGAP5,3.8424580429
BUB1B,3.549984599
EXO1,3.7692014412
ANLN,3.9420136986
CENPF,3.6434024189
ERCC6L,3.4515701333
TROAP,4.0064883998
KIF20A,3.2915912352
UHRF1,3.4782662656
DEPDC1,4.0152534561
ORC6,3.1989254162
BIRC5,3.8503471872
TPX2,3.8085674319
MELK,3.7799390995
B3GNT3,4.3277201582
CDC6,3.5663219697
MEX3A,4.2962514302
CRABP2,5.7353456115
XRCC2,3.3754084713
PLK1,3.3560466504
KIF18B,3.9196420994
CCNB1,3.1394644209
CEP55,3.4100015928
CDCA8,3.1872937268
CTHRC1,3.8990524542
RECQL4,3.1665023582
GINS1,3.1856593859
MCM10,3.712632096
E2F8,3.2828843946
ABCA12,5.4919854573
CENPA,3.8036109211
SKA3,3.359429231
RAD54L,3.4294935916
TMEM184A,3.1744317838
SGO1,3.3775084784
DEPDC1B,3.7353836084
CCNB2,3.2042474621
ADM2,3.4493410853
CDCA3,3.3153488129
EZH2,2.6568983699
PPAT,2.0530985332
CKAP2L,3.3152011142
AURKB,3.6137265553
NEIL3,4.486237268
COL11A1,6.3712650412
MMP11,5.4649114823
RRM2,3.3736789365
CYP24A1,6.8795494629
GREM1,5.1491306858
TMPRSS4,4.7599675485
STIL,2.6738811709
COL10A1,4.6429078234
TTK,3.458654711
ZYG11A,5.5623391712
FOXM1,3.5290750009
SPAG4,3.0114054714
GTSE1,3.2393560137
NCAPG,3.3818904719
KIF11,2.8298286779
ARHGEF39,2.5534160264
ZWINT,2.7412953647
