gene_ids,log2FoldChange
GOLM1,2.6518016271
MND1,3.0476999541
ENSG00000227066,6.1436953035
NDC80,3.2809845374
HMGB3,3.6435925858
KIF26B,3.1870220114
HMMR,3.1973982706
CDC45,3.3050032433
EFNA3,3.1715674714
PPP1R14B,2.1932086572
TMPRSS11E,6.9394840888
PITX2,8.3523643064
ENSG00000080031,5.0873446811
NCAPH,3.1627032871
MYBL2,3.98035658
POLQ,3.4615168082
PLEKHN1,3.1623849191
NUSAP1,2.6931317208
LINC01977,5.0591335969
LINC00511,3.1645942131
PSAT1,3.6388203977
PKMYT1,3.1282341407
PCLAF,2.9736558993
EME1,2.9058706942
ZFPM2.AS1,5.5313729365
NME1,2.3294325907
MKI67,3.2457325598
CDCA5,3.127317852
RMI2,2.396317179
PPP1R14D,6.1253775308
EFNA4,2.2505274724
FEZF1.AS1,6.1734623904
ESPL1,3.2777462009
C17orf53,2.8903085931
CCNA2,3.0553064955
GPT2,3.5316728964
ENSG00000255624,3.9120480699
RASAL1,4.073394297
SYT12,5.62180195
FRMD5,3.6515721729
PRC1,2.6578690647
GINS2,3.0043808669
GJB2,4.6549207813
MNX1.AS1,5.3194798189
CBLC,3.2579281151
BRIP1,2.8133919829
CDCA2,3.1094416478
FGL1,7.8527612838
LGR4,2.7409870091
PBK,3.5644904167
LINC02014,4.0524008163
PRAME,7.7783200207
SPP1,4.8678422131
MYEOV,6.3230300723
ENSG00000259153,3.0397173719
EEF1A2,6.5369119119
TICRR,3.0688617726
EPHA10,3.64274281
SPTBN2,2.5611673488
SPC24,2.8083934186
CABYR,4.8620801611
KIF15,2.8204061169
CENPI,2.8933201497
CELSR3,3.4702130777
PVT1,2.8573356242
ORC1,2.8988574212
PIMREG,3.3522721646
CST1,7.0117633841
IGSF9,3.2745778346
MCM4,2.3393580857
ATP10B,5.3881383358
AURKA,2.8020912972
MDK,3.1713092385
OTX1,3.4304962283
RGS17,3.8549907214
EPN3,3.1415678781
FER1L4,4.1991151835
SLC2A1,3.6198366937
HTR3A,6.0632178205
FUT2,3.1328350186
BUB1,2.8069648895
SKA1,3.1891419911
TRPM8,6.822888807
ITPKA,5.2788698451
ENSG00000263893,5.4825293808
IQANK1,2.3642716204
TK1,2.790318548
KIFC1,2.881444263
ENSG00000256940,3.6025252111
KISS1R,6.456980583
STX1A,3.0823313703
PPP1R14BP3,2.1560638639
RAB26,3.7616623742
LINC01270,3.0310052983
CHAF1B,2.0363504003
CCNE1,3.4412058898
CDT1,2.8730945633
HS6ST2,3.7521402781
ENSG00000137807,2.7354770156
DNA2,2.3561237308
POLE2,2.4911704723
GPRIN1,2.8077699593
PERM1,3.0797510955
HHIPL2,6.2605316694
KNTC1,2.233834916
ASF1B,2.485896119
FERMT1,3.1571059498
KNL1,2.7472051076
FAM111B,2.8389311284
CHEK1,2.3705287479
CENPU,2.5136034566
CDKN3,3.056604961
GCNT3,4.9897406389
SLC25A10,2.3116373936
PAFAH1B3,2.3316389771
TFR2,3.0580357557
OCIAD2,2.2310334474
HELLS,2.4941012442
MAD2L1,2.7184859234
LYPD1,4.2398848043
CENPE,2.8060868603
PCAT6,2.8246453924
ENSG00000217801,2.9317032279
ESCO2,2.7559032112
TFAP2A,3.812595517
FANCI,2.1029691072
MMP13,6.2255654893
MNX1,4.3294001592
TONSL,2.2256828606
B4GALNT4,4.8674266356
RDM1,3.7425113453
ENSG00000230650,4.1671241213
SPINK1,6.7035048099
PLPP2,2.4463188051
YBX2,4.9438677621
ENSG00000177788,2.4250569583
RUNDC3A.AS1,3.8236627058
FOXD3.AS1,7.1567816702
FGB,9.1655462082
CNTD2,4.4943500533
XDH,4.1313601982
LINC00942,6.6120055711
UNC5CL,3.0964606579
VIL1,7.0346672252
PAEP,7.7912510127
RHBDL2,2.6656120397
SHCBP1,2.4098521698
SYT7,3.5567968889
BLM,2.2029175594
GRHL3,3.5751327517
HIST1H2BD,2.6965815263
ENTPD8,4.5973847834
KPNA2,2.1023079341
ENSG00000179066,6.0479373618
BARX1,7.6933375853
ENSG00000233539,5.065244435
NMU,4.7431529442
PTTG1,2.4702800766
ECT2,2.2737968773
MAST1,3.3783936391
CLSPN,2.856009821
TSACC,3.2282113395
ECE2,2.2182283909
ONECUT1,6.8141738245
DGCR5,3.728924242
ENSG00000227619,4.4811972259
RHBG,4.8081230482
STRA6,4.5314676127
KDELR3,2.2663635084
CDK1,2.5951378901
ENSG00000265055,3.2219933962
SLC24A2,5.2345031329
DMBX1,6.6071171919
SPC25,2.521180947
DDX11.AS1,2.5605404688
P3H4,2.1898840726
NECTIN4,2.361990062
DNAJC12,4.4064978125
ENSG00000251138,7.1789919193
ENSG00000090932,7.0801934354
GINS4,2.5562547998
RAD51,2.3292414321
FEZF1,5.6726070161
CARD14,3.6194977884
PLK4,2.1833420818
P2RY6,3.0945001175
C1QTNF6,2.3657587156
DARS.AS1,2.0247574262
C11orf86,7.841105698
C5orf34,2.1611410489
ERO1A,2.1506254902
AGMAT,2.6853169783
SALL4,3.4419005121
GALNT14,3.7848417682
CCDC150,2.7596537969
PITX1,4.6186364434
C2CD4A,4.2026585579
CGREF1,4.2330508056
C1orf61,5.7370390989
WFDC3,4.083026454
PODXL2,3.3211617568
DUSP13,6.3765267165
CHRNA5,3.7694513249
RHBDL1,3.276710343
ZNF695,4.6512022237
BBOX1.AS1,5.7390129388
BCL2L15,3.4340939583
TERT,5.6767278723
CDC25A,2.4816119967
ENSG00000272068,5.5129923779
E2F2,2.4483160876
LINC00857,2.3254549366
ENSG00000233221,6.779411706
DBNDD1,2.0603909947
PLEK2,2.704537666
ADGRF4,4.6177283257
CDCA7,2.9886752501
ENSG00000272666,2.9723420648
CA9,5.4904057137
INHA,6.2885324743
VPS9D1.AS1,2.9324603992
AKR1B10,7.5847315121
DNAH14,2.2262680196
B3GNT6,5.7052235439
CENPK,2.3521420716
ENSG00000272405,4.5763834859
AUNIP,2.50903709
HNF4G,3.5014513719
CILP2,3.5898931685
MSL3P1,2.9086537965
AKR7A3,4.9925298001
LINC01572,3.1614522038
PTGES,3.1050079118
OIP5,2.5390149413
CPS1,6.8529962149
PARPBP,2.2485758498
ENSG00000253258,5.5788429557
ALG1L,3.4091039868
ENSG00000256663,3.417750014
TBX15,3.8754524267
KCNN4,3.2483810207
GPX2,6.0623448348
MMP1,5.0813293355
MCM2,2.1232094817
PLXNB3,3.4432551126
DDX12P,2.4769542256
F12,2.9480831997
TRIP13,2.6779397649
ENSG00000263711,6.9330332325
LGSN,4.7055782302
ENSG00000261762,4.0239631605
SLCO5A1,3.3488452714
PRR11,2.3992705345
THBS2,2.9889855724
IL36RN,6.4499885354
HMGA1,2.4039334229
PROM2,2.6106004153
TFF1,8.1424644324
AOC1,4.9145648516
ADAM12,3.2080685548
SCAT8,4.1193754511
NKX1.2,7.7234070922
CP,3.5863957564
TMEM63C,4.0219324122
SLC7A5,2.8110696467
SPP2,7.091698154
LINC01614,3.7770745434
ENSG00000229970,5.7807481936
S100P,5.1385297086
KCNMB2.AS1,5.7304574686
KRT80,2.5739920567
CCDC169,3.1181464967
ARHGAP11A,2.1973043023
FAM83D,2.4004103936
CLDN10.AS1,6.6848702365
STYK1,2.5767240116
ENSG00000259342,4.1552802245
IGF2BP1,6.669819801
ABCC3,2.5014155878
DDN.AS1,2.6599775324
NPW,5.2916738271
PLPP4,4.1849110502
BARX2,3.9294048532
DNAJC22,3.3827477005
ENSG00000254973,2.8248603977
WDR62,2.4566012869
MIR924HG,4.0202259691
WNT3,2.1222910733
HPDL,3.5866367401
IGF2BP3,4.1964894737
CPNE7,3.2159638237
SPDEF,3.3166103345
ENSG00000218274,6.3688522785
ENSG00000265415,2.4938662475
GPC2,3.5666914476
ADAMTS14,2.6227943426
AKR1B15,6.0819742405
COCH,3.8759610177
FGF11,3.3305019067
HMGA2,5.9454150684
PFKP,2.2604055105
STEAP1,2.9399395312
HSF2BP,2.3811769302
FOXI3,6.9845705318
KRT81,5.1232275115
RAD51AP1,2.2128616239
CASKIN1,3.8073614376
KRTAP4.1,7.4760958434
LHFPL5,5.3216652205
PRR19,2.3026420297
SNORC,2.6091789222
PROC,4.1523319836
ENSG00000259933,3.8133986457
TNFSF11,4.1860436187
IL31RA,4.2309747606
LARGE2,2.5646888028
HOXB9,7.0020192329
CLDN6,6.2888560195
ARHGAP40,3.6285320159
ARSH,5.319782128
IL37,6.1297752882
GPR19,2.5863961644
NETO1,4.9287705555
PLAC1,5.0373174629
ENSG00000233461,2.9391343985
LBX2,2.1490792258
BLACAT1,2.8957505083
IL1RAPL2,6.1914513289
GAD1,3.8748198508
MUC3A,4.5571572607
GNGT1,6.5856601262
RAC3,2.4567864228
PCP4,5.3641659646
PCSK1,5.999815006
PIF1,2.4689269353
HAVCR1,5.2314086613
IL1RL2,2.3423838704
LINC01833,6.9884420117
ENSG00000261123,3.9244500312
SLC29A4,3.2638983403
ENSG00000262884,3.3049356989
LINC01271,2.7114072044
LINC01703,2.4427105377
E2F7,2.8546939483
PPP2R2C,5.1479414937
C2CD4D,2.6542785275
SERINC2,2.0453307481
KRT16,5.0882103979
MMP12,4.0407625725
LINC02657,5.4287983191
RHOV,3.7764924415
ONECUT2,4.5668789412
FAM172BP,4.0772047371
CEACAM5,4.767322231
CCNE2,2.1340876327
ENSG00000256443,3.6666987066
INAVA,2.133060359
LINC02159,4.2889315715
HIST1H2AI,4.4447918283
SPRED3,2.5578562912
NXPH4,4.3628354077
LINC02416,4.4332183395
DCST1,2.7437110364
LINC01460,4.1204500352
GJB6,5.2877207702
CYP27B1,2.4118438357
COL1A1,2.9382980079
BEAN1,2.9569359569
SCN8A,3.0131747841
CDH17,5.2813210942
ENSG00000248538,4.7304767448
P4HA3,2.339922478
TDRKH.AS1,2.1266753652
ABCB6,2.1215689461
SRPK3,3.2339382864
TFAP2A.AS1,3.100649246
TCN1,6.1051874599
CIP2A,2.116730174
MUC13,5.7711516063
COL22A1,3.6610395251
LINC00862,4.0442322105
WASIR2,3.5356283732
ITGA11,2.9370831828
MROH6,2.5010502677
DDIT4L,3.4566986925
ENSG00000218048,4.3436971263
LINC01426,2.5348449104
NQO1,3.1585915375
ANKRD22,2.7464417297
FBXO32,2.2184633153
SNHG4,2.3231958587
EGLN3,3.1601766965
LINC02535,4.4329530519
ABCC2,5.1063441189
ENSG00000248347,5.7011010214
PADI1,6.0402800301
ENSG00000270977,3.8413774876
MB,3.3657182692
ENSG00000214796,2.5336592311
SBK1,2.5980205382
ENSG00000225489,3.0597788655
C6orf222,5.1536203595
ECEL1,4.5852370424
SP8,7.0693185064
CT83,6.8023486141
MINAR1,2.0922105335
FUT9,6.637491358
ENSG00000229953,3.8448902438
GNG4,4.6049393341
LINC00896,3.4363438044
ENSG00000260877,6.2594765905
KLK6,6.7321936108
FHL2,2.3607285309
TYMSOS,2.5983145289
LYPD3,3.6075220204
TESMIN,2.9232062625
PGLYRP4,4.3797630273
RPL39L,2.4712312889
GREB1L,3.470305147
DUSP9,4.6711068848
ENSG00000245522,2.2395347303
LINC02678,4.711846599
NKAIN1,4.683159636
GLB1L3,5.180418271
VGF,4.3238760974
IBSP,4.6799241712
GRIN1,3.2130140881
PHLDA2,2.3731698398
CLPSL2,5.7034425425
GYG2,2.2794208761
ATP6V1C2,3.1122042758
GOLGA7B,2.7855394838
TNFRSF18,2.7250055896
ENSG00000173727,2.4609212511
EPYC,5.4855030719
BRDT,6.2897178712
TMEM132A,2.1204394735
SNORA73B,5.0184590778
SULF1,2.6263439992
ENSG00000258661,3.4772918313
ANKRD34B,5.1615243368
BCL2L10,4.3031340039
IL20RB,4.0288358182
CDKN2A,3.6707287807
C15orf48,3.1797436622
MAP7D2,3.4598860245
TRIM31,4.0766431441
FAP,2.344299528
RBBP8NL,2.1118673738
LY6D,5.5795428529
SLC2A1.AS1,2.5003868752
ENSG00000237686,2.9066272635
RAB3B,4.3365758818
BAIAP2L2,3.4195942758
COL3A1,2.5777749282
GAL,5.0043899245
PAX7,8.3928799715
PDX1,8.8255658717
ENSG00000246465,3.2783899308
CHRNB4,3.5596443041
HASPIN,2.0495637481
SERPINA4,8.0217904112
FBXO43,2.4570784314
FAM72B,2.4402826092
APCDD1L,4.0679215769
AK4,2.6666813418
ENSG00000236947,4.5552199722
HIST1H2AM,4.6000487599
POU3F2,6.1064409501
HOXC13,7.234187659
SLC22A18AS,2.5009851923
CNFN,2.7553477104
UMODL1,4.3766818275
IGHG4,3.755131979
HIST1H2BG,4.0612552017
MMP17,2.8083048446
CALCA,7.3485047323
LINC02474,4.8805622199
NGEF,3.0686951332
ENSG00000218617,5.5853140522
ALG1L2,2.1098129225
CBX2,2.6340127081
ENSG00000202198,5.9121978663
RCOR2,2.9414173513
FAM178B,3.056811777
BPIFA2,5.0804757137
SYNGR3,2.9271515206
KIF1A,5.6710135818
PAH,5.6077984827
CCN4,2.2640086398
ZIC2,5.3494524295
RTN4RL2,2.9260119123
CDH3,2.8653469888
ENSG00000267751,2.1985261072
SYNGR4,4.5832795418
SLCO1B3,7.2195042314
PODNL1,2.9068910713
SLC7A10,4.8371811072
TUBB2B,4.092744209
BHLHA15,2.9984363911
RNF186,5.3876454911
KREMEN2,3.0930722533
NPSR1.AS1,5.8302121103
ENSG00000278399,4.7247232447
RNFT2,2.3652938017
LGI2,2.7995556267
RNF183,4.2139896694
EPHB2,2.3615596557
IGFL2,3.793312631
SP3P,6.9631087928
ENSG00000235721,3.782918869
CEACAM1,2.0641237273
HOXA10,4.3536237725
LHX2,5.0073494516
ENSG00000273443,4.177151703
MELTF,2.8859830053
KRT6A,5.5513879532
C12orf56,5.0063366183
DRP2,3.236915365
MIR4653,3.3599643175
HGD,3.9460876142
MROH3P,5.1245503119
ADAM8,2.0930452796
ENSG00000185332,2.2488028981
ENSG00000230882,3.3385749038
ENSG00000249746,3.9447265206
SRRM3,2.3827056913
CASC9,5.7051590937
CNGA3,4.9042230946
DNMT3B,2.1883905183
ENSG00000272328,5.7624398091
HIST1H2BH,4.6753766924
HOXC.AS2,5.3667085733
MYOSLID,3.4978769202
ENSG00000235939,5.4885296421
FAM133A,5.7467685362
SRPX2,2.4247837757
EPHX4,2.6845248764
CLDN10,4.1867669611
HES6,2.9798311201
ENSG00000197670,2.545914082
JSRP1,3.139475577
ZPLD1,4.2873782204
PANX2,2.5699701563
ENSG00000254988,4.2260493775
EFNA2,5.7052322588
ACY3,2.8825776067
FUT3,2.2474782261
ENSG00000273272,2.9751599589
PLAU,2.7085909968
DGCR9,3.1069188302
SOHLH2,5.0239824454
ENSG00000267077,2.6190558462
MCIDAS,3.0128708632
ALPK2,3.0546723396
RTBDN,5.2351139933
ENSG00000273162,2.1911460873
FAM155B,3.2092059875
HOXC10,6.1761104603
LINC02544,3.6943304882
ERFE,3.304261768
TRIM15,6.0921608367
CXCL14,4.2810922545
DCST2,2.4168877198
APOBEC1,7.5550544125
NRK,3.8430630777
HORMAD1,4.5595650399
DMRTA2,5.1343083758
ENSG00000253339,4.5624764818
CCDC185,4.8016766432
TAS2R2P,4.9654309565
IL22RA2,3.6119852433
HOXC11,7.0528860179
COL5A2,2.2452819038
STRIP2,2.8719221237
C1orf220,2.3062015045
ENSG00000250258,4.6704890517
UCHL1,3.6860294536
GTF2IP7,3.0384592295
UCA1,4.7900853385
LINC00887,4.1216922391
ENSG00000261104,3.8823892434
CDC37P2,3.9808494257
NAT8L,3.5345033907
SCAT1,3.0389343042
CRABP1,5.2338132711
COL24A1,2.0152873135
MESP1,2.4408841886
SLC2A5,2.4487898834
LINC00880,3.5356876703
LINC01607,2.5904037853
MIOX,4.1965917957
PRSS50,3.4177729576
SMC1B,3.6955377637
PGLYRP3,5.9464704705
PABPC1L,2.1417615054
PCMTD1P3,4.5297934785
POU4F1,5.3471392365
BMP8A,2.3621017734
HIST1H3H,2.7652384379
ZP3,2.103176555
PRSS3,4.8292003685
SCG5,2.9817262941
HIST1H2AE,3.8518460954
LINC00665,2.4283837235
YWHAEP7,4.0243700844
MMP3,3.9531574484
XKRX,2.8693716841
HIST1H1D,5.2503420571
LINC01234,6.8443660935
HECW1,2.4827871864
GAREM2,2.0404587333
SLC7A11,3.1675354802
SPTB,3.4299458305
TESC,3.6260585364
GPR87,4.2415143863
COL7A1,3.1546934415
ENSG00000220154,4.9151681173
ARNTL2,2.5958965757
TNS4,3.8952484118
ENSG00000105696,4.2559034134
ENSG00000253395,2.9141335954
MYO3B,3.6028732998
ANKS4B,6.0363264439
EPHX3,2.3092223574
FAM72D,2.4653573653
ENSG00000246982,2.2872266856
BCAN,2.9411752116
LINC00337,3.0430444007
ENSG00000260328,3.2744104164
CELF5,3.4170994354
LINC00973,6.4592133454
LINC00460,4.3090326188
ENSG00000275437,2.3217136176
MAGEA12,8.8986320443
SHOX2,3.3225141893
CSAG1,7.4676913191
ENSG00000262136,3.0283225737
ENSG00000270933,2.8944549227
ENSG00000279878,3.9879318458
ANXA10,5.8778759631
IGHG1,3.096163257
C2CD4D.AS1,2.0224755453
HIST1H3D,3.5522214569
ENSG00000253525,3.4570174203
FGF19,7.1363123228
METTL7B,2.6275414406
ENSG00000273821,2.1659342855
PRR36,2.2258611136
CST4,5.8087831435
HMGA2.AS1,3.4104507233
PDIA2,4.4119379798
HIST1H1E,3.7615121468
SLC17A9,2.4413818274
ENSG00000266830,6.5832327904
DSP,2.2779524192
FUT6,3.7769829693
MESP2,3.1652775779
ENSG00000255345,4.4391428611
PPFIA4,2.516821562
LINC01983,3.947688723
IGFBP3,2.2898417387
ENSG00000229312,5.3011675426
PKD1L2,3.4612991867
OVOL1,2.3278351296
KRT83,5.6419543407
ARTN,2.8582118299
ENSG00000278876,2.555043968
PLOD2,2.2053510249
FAM72C,2.9367338944
HOXB13,6.6588612191
LINC01711,4.0240266432
IL17C,4.2959505388
HIST1H2AG,3.0360751285
CPHL1P,3.9057817157
CHRNA9,5.2023422313
SPOCK1,3.2631030198
RNU1.106P,3.2589879974
B3GNT4,2.2704776628
ALDH3B2,2.9395202812
LUCAT1,3.3956497146
DERL3,2.1604928407
COL17A1,3.81423969
ENSG00000281097,5.3055850918
RPSAP52,5.2229246562
ABCA4,3.6823779826
FOXB1,4.6359068788
BNIP3P11,2.2762045548
HOTAIR,7.0576031691
CYP4A22.AS1,2.6970031638
AIM2,2.9523602989
LINC02362,2.6076078867
AKR1C2,4.8427347765
SLC16A14,3.0884120053
LINC01348,2.8022685216
EPS8L3,6.2929910139
CYP27C1,3.0920186763
RGS20,3.1028099401
ENSG00000249379,3.9789110357
ENSG00000265579,4.5206390574
TCAM1P,4.713709452
GUCA1A,4.6629790449
ENSG00000269397,2.1319214859
GLRA3,4.095103661
SLC12A9.AS1,2.253393872
ADAM28,2.0651280127
ENSG00000260710,5.6288305754
HIST1H2BN,2.0618279022
GPR37,2.8848213677
SPTSSB,4.362246538
KPNA7,2.3323519361
SHOC1,3.3312064169
IGKV1.33,4.0453782275
CPNE4,2.809389605
HPCA,2.4220256634
IL23A,2.2344997726
ENSG00000227496,3.0640163421
NLRP3P1,4.8978452411
LINC01705,4.0848913589
LINC00634,4.0761200251
ENSG00000254367,4.0429931679
GABRA3,6.2624689623
TMEM156,2.5514881337
SOX11,4.4341984711
STK32A.AS1,3.2067950615
PLA2G2F,5.4733063432
HIST1H2BF,5.0743505028
CRLF1,4.1087851728
ENSG00000249001,3.7909806657
PTBP1P,2.7978707223
PTPRN,4.0330144833
TDRD5,3.8343118626
ASPHD1,2.7211501204
HIST2H2BF,2.8147115032
TPSP2,6.2849694134
TTYH1,2.5741778858
SPERT,5.2057710395
UGDH,2.0404753916
PLAAT1,2.9448678166
ACRV1,2.8782375505
SRSF12,2.261664775
ENSG00000258077,4.2332639883
SLC25A5P5,4.1639487962
KCNK12,3.3244948919
LINC00624,2.6865946212
SLC15A1,4.0462544848
CRYGN,3.3024501634
PSMD10P2,4.7275557435
ENSG00000223725,2.0921760021
LINC01559,5.8431252692
NCCRP1,3.9158757054
ENSG00000257732,4.5395830814
TEX11,3.5853294647
PACSIN1,2.5590388418
IL11,2.8281596851
IGHGP,2.7755152427
HIST1H3J,4.8360894468
LINC02332,4.0898464216
ENSG00000281706,2.0449645115
LRRC37A9P,4.0701105821
COL5A1,2.0364642355
PLA2G2C,3.2090143916
LINC02560,3.0857908703
MUC21,3.8340663488
LINC00858,5.345989641
SALL1,6.0163577312
ENSG00000246528,3.4208824645
C12orf42,3.045285623
SLC16A9,3.2716569621
CAMK2N2,3.3942981655
MAGEA3,8.408278078
NKPD1,2.6467340919
HIST1H2AD,4.0448818976
SMKR1,2.9019868862
TOX3,2.7956957512
LINC00525,3.5423885075
HIST1H1B,5.5272574907
S100A2,3.2332895693
QPCT,2.813575326
TFAP2D,7.1662487
GFAP,3.2047048742
SNORD17,4.1503350335
CDIPTOSP,3.4986330083
ENSG00000270195,2.0824134026
TRIM54,3.6593145105
SYT14,4.6898783706
LIPK,6.1039516435
NPSR1,5.144774638
GREB1,2.7286463414
ENSG00000271857,2.2864773814
TLL2,2.8106376298
ENSG00000270460,4.7631950955
TMEM145,3.0028354952
LIPM,2.517579095
ENSG00000232725,2.3140955335
TM4SF5,8.0091040084
ENSG00000250546,6.2619026527
RNF144A.AS1,2.3325914464
ARL9,2.5929546937
IL36G,4.3713016773
RMDN2.AS1,2.830933455
CALML3.AS1,3.5032378504
SMOC1,3.9399192638
MUC20,2.3916713616
RAMP1,2.2916922122
DLX6.AS1,4.9041063895
UCN2,4.1857646796
ITGB1.DT,3.6429398396
ENSG00000272954,3.1180081839
FAR2P1,6.6986748841
HIST1H4H,2.5966426766
LINC01993,3.0815303324
ENSG00000279443,2.0127934106
ENSG00000277247,4.7606652136
VSX1,4.0212548679
DRAIC,3.9242196325
THPO,3.2496986057
IGHV1.24,3.1864453925
TMEM52,2.1022868773
IMPDH1P8,2.752737537
LINC02418,7.9607503209
PAX9,2.8332319705
INSL4,7.979603393
FRGCA,4.0309197938
REEP6,2.3202386165
CNGB1,3.0218148645
TRPM2.AS,3.6673935383
IGKV3.15,2.7631017715
TAS1R3,2.3218437485
TAF7L,3.9127648136
CHGB,4.5284875253
ENSG00000261189,2.232270354
TINAG,6.9058927041
NPC1L1,4.1248719806
LINC01748,5.1909437927
MYH16,2.8245967374
SPRR1B,5.5058179181
ENSG00000279742,2.4847067673
ENSG00000273132,2.5801595205
ENSG00000272808,3.1385667735
PLA2G4A,2.5683953274
ENSG00000253616,2.2962801377
ENSG00000272825,2.9740199511
TMEM82,5.031812132
NKAIN4,3.3753686234
CGA,7.0126801391
ENSG00000263680,4.3150211498
SCARNA5,5.940899055
FOXO6,2.3703987624
TEX19,5.1331637765
FOXE1,4.6041765123
LCN12,2.5127579234
KCNQ5,2.7383972826
RPL23AP77,4.07523801
STK31,2.1205460067
DLX6,5.2113953058
NMRAL2P,3.7076952731
LINC01842,3.6433647304
SGK2,2.5971301965
BARX1.DT,6.553730122
HIST1H2BO,4.1067697639
ENSG00000270557,2.3451200649
UNC93A,5.8737237303
FA2H,2.3507223567
TNNT1,3.4111784184
LEMD1,2.7657689732
DUXAP8,2.675481862
GSDMC,2.6551947581
ENSG00000237594,3.6224952604
COMP,2.9603704598
PRSS2,4.8249699606
LINC00676,11.029805105
LY6K,3.8452971847
MYCN,3.6513501912
PADI3,5.9972229677
IGHG3,2.7592743001
CEACAM7,3.6436391367
ENSG00000242078,3.512301406
VAC14.AS1,2.8234035705
INSL3,2.0661161496
C20orf197,3.2021455349
RN7SL3,3.8722457636
ENSG00000271888,2.0179626316
CBARP,2.0614547485
SYPL1P2,2.1925032836
LINC00160,3.8747864627
ENSG00000225680,4.8533254756
ENSG00000272763,4.4643544787
FAM57B,3.0027611237
RASGEF1A,2.0543993814
COX6B2,3.2339126226
COL6A4P1,3.6576847247
GCLC,2.4277461505
ENSG00000230699,3.7059063038
OGDHL,3.6162449784
DEPDC7,2.5341632452
ENSG00000235350,4.5374070885
SIX1,2.3636444491
PRB3,3.1251240686
TMEM171,2.8745412651
FOXA3,2.9406559858
LINC02003,4.3970582425
ANKRD36BP2,2.8142368874
HIST2H4A,2.3614305687
ENSG00000271930,3.4161356799
FCRL5,2.5040337545
MIR559,2.616535587
LINC02086,3.8434259873
LINC00629,3.7586125933
ENSG00000249199,6.7842182325
ITPRID1,4.5670503518
POU6F2,4.1855656466
IGHV3.43,3.0371023092
LINC01214,6.0735459769
ENSG00000267073,5.6897003337
IGHV3.33,2.8296452807
LINC00461,4.4744626309
BPIFB4,5.5141188417
LINC02473,4.3118005738
CLDN3,2.1049303784
AGR2,2.4068127654
BPIFA1,4.9668904692
HIST1H3G,3.613967612
LINC02588,6.161717965
ALB,4.8363864966
IGKC,2.5878993108
ENSG00000249626,2.1446856865
IGLV3.21,2.7955407547
MAGEC1,7.2433752898
RIMS2,4.0439162555
TM4SF4,4.8429048702
AKR7L,2.931356641
EGF,2.378948585
ERVH48.1,4.1762099596
NKAIN3,5.4609032179
COL25A1,4.5611217585
TFPI2,3.7479975283
RAET1K,2.4088159969
LHX5,5.6196116629
GRIN2D,2.643910062
ENSG00000272189,2.103637594
ZNF252P.AS1,2.0698339985
B4GALNT1,2.668747153
GLDC,3.0565085478
SIX2,3.3660928215
LINC01303,2.6521522895
DIRAS1,2.6502433187
ELFN1.AS1,4.0430565961
MEIOC,2.7120730174
KLK12,5.3619355395
HIST1H2BC,2.3524095502
ENSG00000236064,4.6419343729
CCDC198,5.0265847436
STK32A,2.0678044441
ENSG00000242136,3.6351280034
APOBEC3B,2.3087621646
LINC02323,3.0633102252
ALOXE3,2.8473255903
IGKV4.1,2.7582887385
