gene_ids,log2FoldChange
PRSS1,6.4361205314
CDC25C,2.1723541703
NEK2,2.1969299627
ENSG00000217801,2.1931251268
TFR2,2.2601913248
ENSG00000259342,3.5998183905
LGALS4,5.5737152113
CEACAM1,2.0904147637
PIWIL1,6.4049132293
KLK6,6.3460842178
B3GALT5,4.958602536
AGMAT,2.1268604624
OLFM4,6.1042404731
S100P,4.4294480309
CXCL14,4.3972793337
CGREF1,3.3544355648
RHBDL1,2.6126211092
ZG16B,3.6175986873
FHL2,2.230719032
TNS4,4.0769751992
AGR2,2.8545991113
CDC20,2.2268352826
MELK,2.2041809558
PTBP1P,2.9205486727
BBOX1.AS1,4.4340526186
GCKR,3.8531359655
ENSG00000270933,2.9805135058
C2CD4A,3.3029960293
PAEP,5.8426026339
PODXL2,2.6119245044
LINC01833,5.9040782734
LINC02362,2.763253765
CDC37P2,3.684762204
PLPP4,3.5065863806
DQX1,3.7693930488
PSCA,5.3938263362
HMGB3,2.3170586681
FGF19,7.1382784122
IGFL2,3.6835837781
RAD54L,2.0466381633
GDPD2,3.0317933596
IGHV7.81,3.1683020691
CST4,5.6836784673
IGLV1.51,3.2215985122
LINC00896,3.0455080812
KISS1R,4.2211662206
GNB3,2.1537209262
ENSG00000235721,3.4791555706
CARD11,2.1737672991
ERN2,4.3477999161
F5,3.4379465821
TRIM54,3.9536575701
FAM155B,3.1312073215
TLL2,3.0180960706
CILP2,2.8188139545
IL36G,4.5961761094
KIF2C,2.0425659026
CPT1B,2.1972736827
INSL3,2.2217549591
ADGRF4,3.5654264999
HOXB9,5.8963923275
GAD1,3.2821136341
ABCA4,3.794256677
HTR3A,4.0430504737
COL1A1,2.5573677914
WASIR2,2.9573761539
ASPHD1,2.8419657863
ZPLD1,3.9658944986
ENSG00000172782,5.6843444916
FCRL5,2.8120504011
MKI67,2.0389904051
LINC02159,3.6472869262
GALNT14,2.841098345
AKR7L,3.2810283107
MIR4653,2.9424708967
AQP6,3.8443860204
PABPC1L,2.0928571043
GPR35,2.8484959276
UBE2C,2.3580861432
TROAP,2.1889704907
IGHJ3P,3.40041474
IGHV5.51,3.1250664702
SCN8A,2.5843184209
BCAS1,3.4751248551
COL7A1,3.0954518944
ENSG00000233539,3.5368555812
ENSG00000251138,4.9445410582
MMP12,3.4257420889
ENSG00000255624,2.3531965205
EXO1,2.0342143334
IGHGP,2.8964851442
SSTR5.AS1,6.6490807035
PSAT1,2.2369815301
MGAM2,4.4082769228
DEPDC1,2.1868176817
SYT7,2.5312731218
GJB4,4.4263040701
IGKV1.33,4.0474458574
NUF2,2.0432273111
ANKRD34B,4.5225993192
ENTPD2,2.7885850046
TPX2,2.0778774042
CP,2.8189838169
BCL2L14,2.2162354295
ENSG00000272141,2.4815834701
MIR194.2HG,4.5793474168
ENSG00000197670,2.3638828543
IGHV1.46,3.0207157367
LGSN,3.6399172847
IGHV1.24,3.3667806294
THBS2,2.3178750319
IGHG1,3.0222076042
IGHV3.35,3.1947474379
SLC9A3,3.0110775926
P2RY6,2.2508491027
ECEL1,3.9222195982
SERPINB5,4.7765412019
COX6B2,3.4312769442
IGKV1.8,3.2621443234
POLQ,2.0656455866
IGLL5,2.7454832746
VPS9D1.AS1,2.1757502653
ENSG00000256663,2.4734876028
ENSG00000278192,2.4609742488
ENSG00000260328,3.0710934395
CT83,5.7370577844
MIR3189,3.78749146
PLA2G2F,5.1673511697
DCST1,2.2272700421
ENSG00000272405,3.3979949758
TOX3,2.8626857142
NMU,3.3103044553
ALDOB,3.8779984266
LHFPL5,3.9156785104
IGKV4.1,3.0225374516
CIDEC,5.0697479398
RDM1,2.4212968523
LEMD1,2.9177129665
MROH6,2.0991379162
EN2,4.5295525586
BIRC5,2.0486714682
FCRL4,3.2755122272
TMPRSS11E,4.0502607063
DMRTA2,4.6821690089
NKX1.2,5.6390542234
CDH17,4.353238405
VILL,2.3207452142
ENSG00000272068,3.9545082949
DNAJC12,3.1037919604
IGKV3D.20,2.9744363787
LINC00342,2.8845637797
SBK1,2.1881363489
ENSG00000256443,2.8970085737
LYPD1,2.7770808189
IGLV1.40,2.8159265408
TSPAN8,3.4892999456
BIK,2.0426396983
ENSG00000246982,2.1049135661
TEX11,3.3495913286
TESC,3.3919253892
SLC7A10,4.2559200819
TBC1D27P,3.0125706061
OVOL1,2.2168970557
LINC01711,3.5723862726
RNF183,3.7260034422
ENSG00000229970,4.1438753272
COL22A1,3.0016093077
IGHV3.52,3.0748679312
BMP8A,2.1481336171
SYT2,3.0432754776
KLHDC8A,2.7054059471
IGHV3.33,2.9844150873
TNFSF11,3.2490251847
ENSG00000255345,3.9646267524
LINC01978,2.9435563611
SGK2,2.6641739006
IGKV1OR2.108,3.0668559998
TERT,3.8088882144
TMEM171,2.9730225345
LINC02474,4.1575084535
IGKV1.9,2.9258626559
SLC22A18AS,2.1416315498
IGKV1D.33,4.56288475
BCO1,2.7933029423
MMP10,3.7350595502
ST6GALNAC1,2.4874854634
HIST1H2AI,3.4364418112
IGHG2,2.7323798005
ENSG00000174171,2.7297313377
IGKC,2.7163187803
IGHV2.26,3.2521513031
SLCO1B3,6.1646870509
CXCL13,3.030563216
IGHV3.71,2.9757422161
LINC02657,4.0001875074
IGKJ5,3.1711451685
IGHV3.23,2.7416352731
ENSG00000272666,2.1050163628
FOXI3,5.2622113969
PRAME,4.6405018523
MSL3P1,2.0196259079
MUC5AC,5.792527331
IGHV1OR15.9,3.1808185616
IGHV4.34,2.8773997055
MESP2,2.9011836912
RASSF6,2.1586137369
CKMT1A,3.0217284999
ENSG00000274993,4.5820196379
HOXC13,5.9237960524
ENSG00000260015,4.1157100128
NGEF,2.6132466683
ENSG00000228037,2.1716266924
GOLGA7B,2.3097541062
NETO1,3.7182616534
IGLV3.21,2.9016664221
PGLYRP3,5.0795473436
ENSG00000250258,3.9949314154
RHBG,3.1015218335
LINC02576,2.5537310871
CEACAM7,3.6769801553
VSIG1,4.2646427079
XKRX,2.5802045962
METTL7B,2.400999916
ENSG00000229167,2.9896783074
ENSG00000254988,3.6160433301
ENSG00000229953,3.077362548
IGHV3.43,3.1073527187
ENSG00000223931,2.918642732
ALB,4.9385409423
ENSG00000253258,3.6237917913
SRPK3,2.543423076
SLC9A2,3.5875685898
IGKV3.15,2.7263045622
UGT1A10,8.7571554822
LY6D,4.5762734874
IGHV3.15,2.7930683239
ZIC2,4.4520322937
SLC2A5,2.1619813516
KIAA1211,2.1181117574
LINC01614,2.7202357776
ADAM12,2.3208373813
SLCO5A1,2.3855642102
COL3A1,2.1260219973
LINC02122,5.083714213
KRTAP4.1,5.3862099749
ENSG00000279878,3.4632864802
HOXC.AS2,4.3749121573
IGHJ2,3.0090395586
HOXC11,6.0154527617
PLA2G2C,2.9307945471
ITGB4,2.1548355543
IGHV5.78,2.6068446822
SLC15A1,3.7956940859
PROC,3.1108935907
IGHV1OR15.2,3.2773703331
ALPK2,2.6117881593
IGHA2,2.7391918484
ENSG00000275437,2.0332627292
IGHV4.39,2.822569454
PRR5.ARHGAP8,2.0937643778
IGHV1.17,3.4833801353
PGLYRP4,3.4557773232
ANKRD36BP2,2.8115807523
CKMT1B,2.9845477161
MYBL2,2.200702874
IGKV1D.8,2.8884648653
ITPRID1,4.5519983632
IL22RA1,2.7622457485
CELF5,2.9852719396
IGHV3.79,2.8321767749
CASKIN1,2.761582825
ENSG00000273443,3.3138196023
ENSG00000248347,4.176106145
GJB3,3.3366431455
IGKV3D.11,2.7196485663
IGKV3.11,2.5613914845
ENSG00000227619,2.8833380458
IGHV3OR15.7,2.9841412171
IGHV3.25,3.2689112361
ENSG00000234425,3.5832089472
MAST1,2.1551284677
TBX15,2.6896059627
LINC02332,3.4620714314
MUC5B,4.1048375163
IGHV3.11,2.7856674869
HPCA,2.1395979658
EPHX4,2.2579146271
TBXT,5.37422196
IGHV2.5,2.9616302589
ENSG00000197476,3.3175692078
MIOX,3.5582287548
IGLV4.69,2.9291892151
SIX1,2.3219305817
STK32A,2.0649320055
PCP4,3.9760575535
RAB3B,3.4566876888
FGL1,4.4407072964
ENSG00000232725,2.1178732986
CA10,5.4603026952
IGHG3,2.6796545946
SYT16,3.3016294144
CCNE1,2.0291048524
ENSG00000267709,2.6964321101
IGHV4.55,2.5461838978
AK4,2.1373089636
PLAC1,3.5481944893
MNX1.AS2,2.9589986573
CHRNA6,2.2403110285
DGCR9,2.5767158775
ALG1L,2.32039826
JSRP1,2.6143403437
IGLV2.14,2.6340598956
IGHV3.41,2.8051973161
F12,2.0121731372
ENSG00000249007,2.2976309319
IGKV3.7,2.7158296951
SYT13,4.5844982901
ENSG00000234805,3.952939488
PPP2R2C,3.7959509339
