"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005766","GO:0005766","primary lysosome","1/28","155/19659",0.19891792871363,0.341977594694106,0.319979035971094,"DEFA3",1
"GO:0042582","GO:0042582","azurophil granule","1/28","155/19659",0.19891792871363,0.341977594694106,0.319979035971094,"DEFA3",1
"GO:0042734","GO:0042734","presynaptic membrane","1/28","161/19659",0.205794304164212,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0043197","GO:0043197","dendritic spine","1/28","164/19659",0.209211112712487,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0030426","GO:0030426","growth cone","1/28","165/19659",0.21034689567448,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0044309","GO:0044309","neuron spine","1/28","166/19659",0.211481105529878,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0099240","GO:0099240","intrinsic component of synaptic membrane","1/28","166/19659",0.211481105529878,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0030427","GO:0030427","site of polarized growth","1/28","167/19659",0.212613744376908,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0031225","GO:0031225","anchored component of membrane","1/28","169/19659",0.21487431742533,0.341977594694106,0.319979035971094,"RAB26",1
"GO:0005775","GO:0005775","vacuolar lumen","1/28","171/19659",0.217128631551814,0.341977594694106,0.319979035971094,"DEFA3",1
"GO:0008021","GO:0008021","synaptic vesicle","1/28","180/19659",0.227196037437529,0.349106106306446,0.326648988356909,"RAB26",1
"GO:0000775","GO:0000775","chromosome, centromeric region","1/28","194/19659",0.242608745730805,0.353598457035857,0.330852357460451,"ERCC6L",1
"GO:0070382","GO:0070382","exocytic vesicle","1/28","197/19659",0.245872688772092,0.353598457035857,0.330852357460451,"RAB26",1
"GO:0098858","GO:0098858","actin-based cell projection","1/28","198/19659",0.246957652532979,0.353598457035857,0.330852357460451,"GPM6A",1
"GO:0030658","GO:0030658","transport vesicle membrane","1/28","204/19659",0.253435894769091,0.354810252676728,0.33198620133495,"RAB26",1
"GO:0000793","GO:0000793","condensed chromosome","1/28","221/19659",0.271500408297029,0.370939692887674,0.347078075216537,"ERCC6L",1
"GO:0031300","GO:0031300","intrinsic component of organelle membrane","1/28","226/19659",0.276732786757471,0.370939692887674,0.347078075216537,"RAB26",1
"GO:0150034","GO:0150034","distal axon","1/28","280/19659",0.330982383205418,0.434414377957112,0.406469593410163,"GPM6A",1
"GO:0030667","GO:0030667","secretory granule membrane","1/28","295/19659",0.345341365093136,0.442261700082553,0.413812117036307,"RAB26",1
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","1/28","301/19659",0.351001349271868,0.442261700082553,0.413812117036307,"ARSH",1
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","1/28","332/19659",0.379500993675969,0.468795345129138,0.438638919419076,"LAD1",1
"GO:0098687","GO:0098687","chromosomal region","1/28","346/19659",0.391972594304303,0.470112276678589,0.439871136073533,"ERCC6L",1
"GO:0098978","GO:0098978","glutamatergic synapse","1/28","350/19659",0.3954912803804,0.470112276678589,0.439871136073533,"GPM6A",1
"GO:0033267","GO:0033267","axon part","1/28","373/19659",0.415345822091085,0.483500013231795,0.45239767319934,"GPM6A",1
"GO:0030133","GO:0030133","transport vesicle","1/28","381/19659",0.422103186154742,0.483500013231795,0.45239767319934,"RAB26",1
"GO:0005874","GO:0005874","microtubule","1/28","414/19659",0.449189779603464,0.505338502053897,0.472831346951015,"NCKAP5",1
"GO:0097060","GO:0097060","synaptic membrane","1/28","431/19659",0.462661466330946,0.506995012812953,0.474381298538435,"GPM6A",1
"GO:0005911","GO:0005911","cell-cell junction","1/28","442/19659",0.471208529514251,0.506995012812953,0.474381298538435,"NECTIN4",1
"GO:0005759","GO:0005759","mitochondrial matrix","1/28","462/19659",0.486413941925729,0.506995012812953,0.474381298538435,"PYCR1",1
"GO:0005743","GO:0005743","mitochondrial inner membrane","1/28","463/19659",0.487163038640115,0.506995012812953,0.474381298538435,"SLC25A48",1
"GO:0015629","GO:0015629","actin cytoskeleton","1/28","483/19659",0.501925596267559,0.506995012812953,0.474381298538435,"LAD1",1
"GO:0043025","GO:0043025","neuronal cell body","1/28","483/19659",0.501925596267559,0.506995012812953,0.474381298538435,"GPM6A",1
"GO:0031012","GO:0031012","extracellular matrix","1/28","490/19659",0.506995012812953,0.506995012812953,0.474381298538435,"LAD1",1
