"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098993","GO:0098993","anchored component of synaptic vesicle membrane","1/28","13/19659",0.0183638438937158,0.341977594694106,0.319979035971094,"RAB26",1
"GO:0099059","GO:0099059","integral component of presynaptic active zone membrane","1/28","15/19659",0.0211600287845106,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0098945","GO:0098945","intrinsic component of presynaptic active zone membrane","1/28","19/19659",0.0267293751772522,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0035371","GO:0035371","microtubule plus-end","1/28","20/19659",0.0281169300395251,0.341977594694106,0.319979035971094,"NCKAP5",1
"GO:0044295","GO:0044295","axonal growth cone","1/28","26/19659",0.0364022872297566,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:1990752","GO:1990752","microtubule end","1/28","28/19659",0.0391489059409698,0.341977594694106,0.319979035971094,"NCKAP5",1
"GO:0048787","GO:0048787","presynaptic active zone membrane","1/28","31/19659",0.0432546838757749,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0098563","GO:0098563","intrinsic component of synaptic vesicle membrane","1/28","46/19659",0.0635311090593771,0.341977594694106,0.319979035971094,"RAB26",1
"GO:0045178","GO:0045178","basal part of cell","1/28","51/19659",0.0701973577008,0.341977594694106,0.319979035971094,"GKN2",1
"GO:0034774","GO:0034774","secretory granule lumen","2/28","321/19659",0.0760865049051028,0.341977594694106,0.319979035971094,"DEFA3/S100A12",2
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","2/28","338/19659",0.0831481551020229,0.341977594694106,0.319979035971094,"DEFA3/S100A12",2
"GO:0031983","GO:0031983","vesicle lumen","2/28","339/19659",0.0835698024558324,0.341977594694106,0.319979035971094,"DEFA3/S100A12",2
"GO:0001533","GO:0001533","cornified envelope","1/28","65/19659",0.0886203196931564,0.341977594694106,0.319979035971094,"PRR9",1
"GO:0048786","GO:0048786","presynaptic active zone","1/28","69/19659",0.0938190395131137,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0099056","GO:0099056","integral component of presynaptic membrane","1/28","75/19659",0.101563538954477,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0098889","GO:0098889","intrinsic component of presynaptic membrane","1/28","84/19659",0.113060741923218,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0035578","GO:0035578","azurophil granule lumen","1/28","91/19659",0.121904793526137,0.341977594694106,0.319979035971094,"DEFA3",1
"GO:0005604","GO:0005604","basement membrane","1/28","92/19659",0.123161266634338,0.341977594694106,0.319979035971094,"LAD1",1
"GO:0030175","GO:0030175","filopodium","1/28","100/19659",0.133150828760005,0.341977594694106,0.319979035971094,"GPM6A",1
"GO:0030672","GO:0030672","synaptic vesicle membrane","1/28","102/19659",0.135631019269588,0.341977594694106,0.319979035971094,"RAB26",1
"GO:0099501","GO:0099501","exocytic vesicle membrane","1/28","102/19659",0.135631019269588,0.341977594694106,0.319979035971094,"RAB26",1
"GO:0005796","GO:0005796","Golgi lumen","1/28","103/19659",0.136868547083693,0.341977594694106,0.319979035971094,"DEFA3",1
"GO:0000777","GO:0000777","condensed chromosome kinetochore","1/28","104/19659",0.138104366304477,0.341977594694106,0.319979035971094,"ERCC6L",1
"GO:0005913","GO:0005913","cell-cell adherens junction","1/28","110/19659",0.145483528182491,0.341977594694106,0.319979035971094,"NECTIN4",1
"GO:0098793","GO:0098793","presynapse","2/28","482/19659",0.149665125920044,0.341977594694106,0.319979035971094,"RAB26/GPM6A",2
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","1/28","117/19659",0.154015563859887,0.341977594694106,0.319979035971094,"ERCC6L",1
"GO:0000776","GO:0000776","kinetochore","1/28","133/19659",0.173210006195941,0.341977594694106,0.319979035971094,"ERCC6L",1
"GO:0043296","GO:0043296","apical junction complex","1/28","142/19659",0.18382161050307,0.341977594694106,0.319979035971094,"NECTIN4",1
"GO:0072562","GO:0072562","blood microparticle","1/28","147/19659",0.189660070759606,0.341977594694106,0.319979035971094,"CD5L",1
"GO:0099699","GO:0099699","integral component of synaptic membrane","1/28","154/19659",0.197766298688676,0.341977594694106,0.319979035971094,"GPM6A",1
